4718,0,Bcos sim1 contact doesnt display in d contact
4728,0,"No useful internet browser,unsupporting uc browser,couldnot download application"
4739,0,[PHONE/IMEI NUMBER REMOVED] v
4745,0,This phone is all in one package 
4745,1, But there are some parts where help is needed
4750,0,This mobile is better
4752,0,This phone is good need more option
4758,0,Because few mistakes that is camera
4764,0,Because it is a nyc phone
4770,0,Kenapa saya tidak kasih nilai 10!
4772,0,Karna semua froduk nokia bagus bagus
4780,0,Because it is the worst
4843,0,"Ma?ai fono paveiksliuku, negra?ios tonu melodijos"
4853,0,I like this phone
4856,0,My phone screen light keeps coming up
4861,0,Aint able to download chattin apps
4865,0,B'cox i like this
4874,0,Its always trippin off
4881,0,I cant download app
4885,0,Khi goi di neu ho nhan cuoc goi thi nen co rung de canh bao
4913,0,This mobile don't have any best options
4913,1, It is appeared to be waste
4913,2,i never update my browser
4913,3,no game can be downloaded
4913,4,in  2800 i can buy a smart phone
4914,0,Because it has very third cllass features
4947,0,Can't download from internet
4961,0,This phone is too slow and has a low RAM
4967,0,"Because of music player is like china mobiles so i don't like that,"
4970,0,"Is a smart phone, but not the best i hoped for"
4973,0,"Would hv given 10 if it had wifi to , but stil its a complete cel m happy with it in this price"
4989,0,Cant download games and apps from websites
5000,0,Very good mobile of nokiaI love it
5004,0,Karna yakin tman slalu jujur
5012,0,"Bec0z so cute,type and smart"
5014,0,Couldn't score higher because the battery did not last as specified
5016,0,"No apps,little bit stuck"
5023,0,I want to know
5027,0,Useless nokia 215 with no whatsapp
5028,0,The internent not effective even with network available
5031,0,"Because it does not support downloading apps,games etc"
5031,1, Its message memory is also too short
5034,0,Its really easy to use
5038,0,Its a great phone
5042,0,Beacouse it better than anything
5048,0,Because sumtimes i find it hard to use this phone and the mssgs get full easily
5049,0,"Facebook app takes too much time to open at starting, and now after a month it doesn't open"
5049,1,"Also now messages on screen can't be opened by just cliking on them, i have to go respective app to open them"
5049,2,"Remaining overall is ok!"""
5066,0,I wAnT t0 fUll sc0rE iF wIfI avAlIblE iN thIs m0bIle thAt whY i gIvE 9 sc0rE othEr wIsE wOndErfUl mObIlE
5080,0,"Because when i am using facebook on my this nokia 215 , it hangs a lot and not works at all"
5080,1, A bad piece from microsoft\'s nokia
5083,0,Its easy to use
5085,0,Java is not supporting
5101,0,Nokia 215 not connecting internet sometimes
5115,0,A volte non capisco come fare modifiche
5119,0,The phone is actually awesome for the price
5119,1," I'd buy as a gift to my kid brother, but not recommend to my friends"
5136,0,it is costlier and fine to operated when show the function of the phone they extremely like
5138,0,Have not havy inbox memory so quikly over flow inbox
5148,0,Because it is excellent
5175,0,Easy to both sim
5176,0,Khong ho tro java
5179,0,Bcouse this phn is branddid
5179,1,ths phn is all foldr v nice
5181,0,Whats up is missing in this phone
5190,0,Not open facebook app
5192,0,Do not support whatsapp
5192,1,please support whatsapp for my phone
5194,0,"Always the network bar ir low,opera mini is old,i can't download any apps,games"
5197,0,Cant browse and no game
5198,0,Games and apps downloaded from browser not supporting
5220,0,"Plastic body,whatsapp not available"
5231,0,"It cant download games and apps, the game store not updated, u cant upgrade this phone, i cant zoom pictures"
5233,0,I LIKE AND LOVE NOKIA
5237,0,Please provide me update in setting for to close kepad lamps in daytime to extend battery life
5247,0,I am need keycode of game
5249,0,It is the worst phn as it does not support what's app
5252,0,Because i lik it nd am enjoying it
5256,0,Because the phone does not browse as expected
5256,1, It is nt able 2 download whatsapp and 2go which are the common social networks
5261,0,Bcoz i 've already taken so many ph's f nokia of same range bt they 've sme prblms whn v use the apps n enough net usage there software 'll need to update
5261,1, So dat's m gvng the scores so pls contact me
5267,0,Because of the great phone you people are invented!
5272,0,Because we con't zoom any photos
5272,1,and we con't use whats app
5283,0,Because this phone is best
5300,0,D phne is very light and its black screen gives very clear display
5308,0,Camera don\'t have much functions and only 1 game is free
5317,0,Just coz i can't use whatsapp on it
5322,0,Ravinath (rn) nokia215 ek ghatia mobile hai
5336,0,The overall quality is good
5336,1,but wile the facebook notifications on then if i try to play games the phone hangs and restartsly several time
5336,2,there is no option to turn off the internet
5336,3,when i does not require it its still showing the 'e' sign in box
5336,4,which means the net is active
5355,0,Fb app is verry slow
5358,0,Cac chuc nang cua may noi chung la tam dc nhung khi mo 1 file du lieu j do len thi hoi cham
5366,0,It does not have much space
5367,0,Yor fon not sapotart apps
5374,0,Becouse internet have not happen
5422,0,Ma?y ?t qua? ??n gia?n
5423,0,Plese tell me the ph?ne seceurity password
5425,0,Because it has less storage capacity of sms
5448,0,andoid look 6e ke nahi
5455,0,can't opan java apps
5464,0,Anda sudah berhak mendapatkan nya
5475,0,It's not spported with online watching video's
5477,0,Because it consumes data bundle and doesnt download Apps
5481,0,The ph is good bt the battery back up is nt goodWht shall i doPlz contact me
5491,0,The security system of this mobile is substandard
5491,1,If someone send you the sms and your security code is locked still you can read and reply the sms
5491,2,It is the major problem of the new nokia mobiles like N215
5504,0,Because in this device the games of other sites are not open
5524,0,"Music player, Design, Screen quality, Touchpad, all are very impressive"
5530,0,Because apps are not installing on this mobile which i need
5542,0,Chua thong minh lam
5545,0,This device really awesome and price is unbeatable to all type of customer
5547,0,Il est super utile il va sur internet fait twitter c'es genial
